ID,标题,类型,地区,日期,优先级,评分,可投
37,澜沧县谦六乡打岗村产业转型升级打滚组至腊撒村小新寨生产道路建设项目公开招标公告,招标公告,普洱市公共资源交易中心,2026-06-29,高优,92,Y
40,保定市清苑区阳城镇阎庄村道路修建项目竞争性磋商公告,招标公告,保定市公共资源交易中心,2026-06-29,高优,90,Y
42,保定市清苑区张登镇张登村道路修建项目竞争性磋商公告,招标公告,保定市公共资源交易中心,2026-06-29,高优,90,Y
46,壶关县中心敬老院竞争性磋商壶关县城北区域养老服务中心项目的采购公告,招标公告,山西,2026-06-29,高优,90,Y
47,山南市乃东区乃东新村老旧小区改造项目EPC项目招标公告,招标公告,山南市公共资源交易中心,2026-06-29,高优,90,Y
31,九江市长盛招标代理有限公司关于九江市第一人民医院八里湖院区病房提升改造项目设计服务（招标编号：JJCSC2026-100814）竞争性磋商采购公告,招标公告,江西,2026-06-19,高优,80,Y
32,江西省机电设备招标有限公司关于东华理工大学抚州新校区数字媒体与社会治理实验室电子化公开招标公告,招标公告,抚州,2026-06-19,高优,80,Y
41,高州市西部水库水系连通工程勘察设计招标公告,招标公告,茂名市公共资源电子交易平台,2026-06-29,高优,80,Y
44,赣榆高新区地下管网及排水防涝设施建设改造项目一批次工程监理,招标公告,连云港建设工程网上招投标系统,2026-06-29,高优,80,Y
39,江夏区“青山行动”2026年度矿山生态修复项目（第一标段）,招标公告,武汉市建设工程交易平台,2026-06-29,高优,75,Y
43,展馆智慧移动电箱系统及展览配电服务项目招标公告-展馆智慧移动电箱系统及展览配电服务项目,招标公告,广东,2026-06-29,高优,75,Y
45,英吉沙县小刀工坊及配套土陶设备项目(英吉沙县小刀工坊)（二次）竞争性谈判公告,招标公告,新疆,2026-06-29,高优,75,Y
48,河北省尚义县第一中学2026年新建食堂设备购置公开招标公告,招标公告,张家口公共资源交易综合信息平台,2026-06-29,高优,75,Y
49,成华区四川发展未来产业园新建项目设计/标段（更正）评标结果公示,中标公示,成都市电子交易云平台,2026-06-29,中优,60,
56,涟水经开区盐河沿线老旧厂区改造项目电力工程EPC工程总承包重发公告第1次中标候选人公示,中标公示,淮安市公共资源交易系统,2026-06-29,中优,60,
38,湖南师大附中特立学校食堂餐饮服务委托经营管理项目（2026年-2029年）招标公告,交易公告,湖南,2026-06-29,中优,57,
52,鸡西市动植物园景区基础设施能力提升项目全过程服务,中标公示,黑龙江,2026-06-29,中优,50,
20,山东黄金集团建设工程有限公司新疆金川矿业生产生活及附属设施工程劳务分包招标公告,交易公告,山东,2026-06-18,中优,45,
21,河北省(邢台)二氧化硫排污权交易公告,交易公告,河北,2026-06-18,中优,45,
22,河北省(邢台)二氧化硫排污权交易公告,交易公告,河北,2026-06-18,中优,45,
23,北部片区供热替代工程（暂估价）不分标段预中标公示,中标公示,山东,2026-06-18,中优,45,
25,2026年诸暨市店口镇“多田套合”布局优化项目（一）（施工）中标公示,中标公示,浙江,2026-06-18,中优,45,
26,浙江富力诚欣工程顾问有限公司关于2026年桐乡市非现场执法点位运维服务项目中标(成交)结果公告,中标公示,浙江,2026-06-18,中优,45,
27,浙江建科工程项目管理有限公司关于浙江景宁经济开发区（省级）澄照片区基础设施建设项目—澄照消防救援站建设工程装备采购项目中标(成交)结果公告,中标公示,浙江,2026-06-18,中优,45,
28,浙江建科工程项目管理有限公司关于浙江景宁经济开发区（省级）澄照片区基础设施建设项目—澄照消防救援站建设工程装备采购项目中标(成交)结果公告,中标公示,浙江,2026-06-18,中优,45,
29,浙江建科工程项目管理有限公司关于浙江景宁经济开发区（省级）澄照片区基础设施建设项目—澄照消防救援站建设工程装备采购项目中标(成交)结果公告,中标公示,浙江,2026-06-18,中优,45,
30,通益路等绿地养护,中标公示,浙江,2026-06-18,中优,45,
35,登封市石道乡人民政府登封市石道乡2025年省级农村公益事业财政奖补普惠性项目（第二、三批）项目（第二标段）-成交公告,中标公示,河南,2026-06-18,中优,45,
50,成都航空职业技术大学三坐标测量机采购项目中标（成交）结果公告,中标公示,四川,2026-06-29,中优,45,
51,成都航空职业技术大学表面无应力无污染抛光仪采购项目中标（成交）结果公告,中标公示,四川,2026-06-29,中优,45,
53,2026年日喀则市提升城市品质攻坚行动采购项目中标（成交）结果公告,中标公示,西藏,2026-06-29,中优,45,
54,重庆市南岸区鸡冠石镇人民政府机关食堂食材配送服务项目(NAQ26C00139)中标（成交）结果公告,中标公示,重庆,2026-06-29,中优,45,
55,黑龙江省大庆市让胡路区住宅2026年老旧电梯更新改造项目成交公告,中标公示,黑龙江,2026-06-29,中优,45,
